iter	Passed	Remaining
0	60	60277
1	60	30297
2	61	20302
3	61	15294
4	61	12290
5	62	10288
6	62	8859
7	62	7788
8	63	6954
9	63	6287
10	63	5741
11	64	5288
12	64	4900
13	64	4571
14	65	4283
15	65	4032
16	65	3809
17	66	3612
18	66	3435
19	66	3275
20	67	3131
21	67	3000
22	67	2880
23	68	2769
24	68	2668
25	68	2575
26	69	2488
27	69	2406
28	69	2330
29	69	2260
30	70	2195
31	70	2133
32	70	2076
33	71	2021
34	71	1969
35	71	1921
36	72	1875
37	72	1831
38	72	1790
39	72	1751
40	73	1714
41	73	1678
42	73	1645
43	74	1612
44	74	1582
45	74	1552
46	75	1524
47	75	1497
48	75	1471
49	76	1445
50	76	1421
51	76	1397
52	76	1374
53	77	1352
54	77	1332
55	77	1311
56	78	1291
57	78	1272
58	78	1254
59	78	1236
60	79	1219
61	79	1202
62	79	1186
63	80	1170
64	80	1155
65	80	1140
66	80	1126
67	80	1109
68	81	1096
69	81	1083
70	81	1071
71	82	1059
72	82	1046
73	82	1034
74	82	1023
75	83	1012
76	83	1001
77	83	990
78	84	979
79	84	969
80	84	959
81	84	949
82	85	939
83	85	930
84	85	920
85	85	911
86	85	901
87	86	892
88	86	890
89	87	883
90	87	876
91	88	873
92	88	866
93	89	859
94	89	852
95	89	845
96	90	838
97	90	831
98	90	825
99	90	818
100	91	812
101	91	804
102	91	798
103	91	791
104	92	785
105	92	779
106	92	773
107	92	767
108	93	762
109	93	756
110	94	755
111	94	750
112	94	745
113	95	740
114	95	734
115	95	728
116	95	723
117	96	718
118	96	713
119	96	708
120	96	703
121	97	699
122	97	693
123	97	688
124	97	684
125	97	679
126	98	675
127	98	669
128	98	665
129	98	661
130	99	657
131	99	653
132	99	649
133	99	645
134	100	641
135	100	637
136	100	634
137	100	629
138	101	626
139	101	622
140	101	618
141	101	615
142	102	611
143	102	608
144	102	604
145	102	601
146	103	598
147	103	594
148	103	591
149	103	588
150	104	585
151	104	582
152	104	579
153	104	576
154	105	572
155	105	569
156	105	567
157	105	564
158	106	561
159	106	559
160	106	556
161	107	553
162	107	551
163	107	548
164	107	545
165	108	542
166	108	540
167	108	537
168	108	535
169	109	532
170	109	530
171	109	527
172	109	525
173	110	522
174	110	520
175	110	517
176	110	515
177	111	513
178	111	510
179	111	508
180	111	505
181	111	503
182	112	500
183	112	498
