iter	Passed	Remaining
0	60	60016
1	60	30140
2	60	20197
3	61	15246
4	61	12278
5	62	10280
6	62	8845
7	62	7776
8	63	6943
9	63	6275
10	63	5727
11	64	5270
12	64	4881
13	64	4549
14	64	4260
15	65	4008
16	65	3784
17	65	3587
18	66	3410
19	66	3250
20	66	3107
21	66	2976
22	67	2857
23	67	2752
24	68	2652
25	68	2558
26	68	2471
27	68	2392
28	69	2317
29	69	2253
30	70	2188
31	70	2126
32	70	2067
33	70	2012
34	71	1960
35	71	1911
36	71	1865
37	71	1821
38	72	1780
39	72	1740
40	72	1702
41	73	1666
42	73	1632
43	73	1600
44	73	1569
45	74	1539
46	74	1510
47	74	1483
48	75	1457
49	75	1432
50	75	1407
51	75	1383
52	76	1360
53	76	1340
54	76	1319
55	77	1299
56	77	1285
57	77	1266
58	78	1249
59	78	1234
60	79	1217
61	79	1200
62	79	1184
63	79	1169
64	80	1156
65	80	1144
66	81	1131
67	81	1118
68	81	1105
69	82	1095
70	82	1082
71	83	1070
72	83	1058
73	83	1046
74	83	1035
75	84	1024
76	84	1013
77	84	1002
78	85	992
79	85	982
80	85	972
81	86	964
82	86	953
83	86	944
84	86	935
85	87	926
86	87	917
87	87	909
88	88	900
89	88	892
90	88	884
91	88	876
92	89	868
93	89	861
94	89	853
95	89	847
96	90	840
97	90	833
98	90	826
99	91	819
100	91	813
101	91	806
102	91	800
103	92	794
104	92	787
105	92	781
106	92	775
107	93	769
108	93	765
109	93	759
110	94	754
111	94	749
112	94	744
113	95	739
114	95	734
115	95	731
116	96	725
117	96	720
118	96	716
119	96	711
120	97	706
121	97	701
122	97	696
123	97	692
124	98	687
125	98	683
126	98	678
127	98	674
128	99	669
129	99	665
130	99	661
131	100	658
132	100	656
133	101	653
134	101	649
135	101	645
136	101	641
137	102	638
138	102	634
139	102	630
140	103	627
141	103	623
142	103	619
143	103	616
144	103	612
145	104	608
146	104	605
147	104	602
148	104	599
149	105	595
150	106	596
151	106	594
152	106	591
153	107	589
154	107	586
155	108	585
156	108	582
157	108	579
158	109	576
159	109	576
160	109	572
161	110	569
162	110	566
163	110	564
164	110	561
165	111	558
166	111	555
167	111	553
168	111	550
169	112	547
170	112	545
171	112	542
172	113	540
173	113	537
174	113	535
175	113	532
176	114	530
177	114	528
178	114	527
179	115	527
180	116	525
181	116	522
182	116	520
183	116	518
184	117	515
185	117	513
186	117	511
187	117	508
188	118	506
189	118	504
190	118	502
191	118	500
192	119	497
193	119	495
194	119	493
195	119	491
196	120	489
197	120	487
198	120	485
199	120	483
200	121	481
201	121	479
202	122	479
203	122	478
204	122	476
205	123	474
206	123	472
207	123	470
208	124	469
209	124	468
210	125	467
211	125	465
212	125	465
213	126	463
214	126	461
215	126	459
216	126	458
217	127	456
218	127	454
219	127	452
220	128	451
221	128	449
222	128	447
223	128	446
224	129	444
225	129	442
226	129	441
227	129	439
228	130	439
229	131	438
230	131	437
231	131	436
232	132	434
233	132	433
234	132	431
235	132	430
236	133	428
237	133	427
238	133	425
239	133	424
240	134	422
241	134	421
242	134	419
243	135	418
244	135	416
245	135	415
246	135	414
247	136	412
248	136	411
249	136	409
250	136	408
251	137	407
252	137	405
253	137	404
254	137	402
255	138	401
256	138	400
257	138	399
258	138	397
259	139	396
260	139	395
261	139	393
262	140	393
263	140	391
264	141	391
265	141	390
266	141	389
267	142	387
